id,term,definition,translation,category,level,timestamp
1,Algorithm,Пошаговая процедура решения задачи,Алгоритм,Основные концепции,High,2025-11-25 09:17:30
3,Data Structure,Способ организации и хранения данных,Структура данных,Основные концепции,High,2025-11-25 09:21:57
4,Variable,Именованная область памяти для хранения данных,Переменная,Основные концепции,High,2025-11-25 09:21:57
"5,Function,""Блок кода, выполняющий конкретную задачу"",Функция,Основные концепции,High,2025-11-25 09:21:57"
6,Class,Шаблон для создания объектов в ООП,Класс,Основные концепции,High,2025-11-25 09:21:57
"7,Object,""Экземпляр класса, содержащий данные и методы"",Объект,Основные концепции,High,2025-11-25 09:21:57"
8,API,Интерфейс для взаимодействия между программами,API (интерфейс прикладного программирования),Основные концепции,High,2025-11-25 09:21:57
9,Framework,Набор инструментов и библиотек для разработки,Фреймворк,Основные концепции,High,2025-11-25 09:21:57
10,Library,Коллекция готовых функций и классов,Библиотека,Основные концепции,High,2025-11-25 09:21:57
11,Syntax,Правила написания кода в языке программирования,Синтаксис,Основные концепции,High,2025-11-25 09:21:57
12,Constant,Неизменяемая именованная величина,Константа,Основные концепции,High,2025-11-25 09:21:57
"13,Method,""Функция, принадлежащая объекту или классу"",Метод,Основные концепции,High,2025-11-25 09:21:57"
14,Parameter,Переменная в объявлении функции,Параметр,Основные концепции,High,2025-11-25 09:21:57
"15,Argument,""Фактическое значение, передаваемое в функцию"",Аргумент,Основные концепции,High,2025-11-25 09:21:57"
"16,Return Value,""Результат, возвращаемый функцией"",Возвращаемое значение,Основные концепции,High,2025-11-25 09:21:57"
17,Instance,Конкретный объект класса,Экземпляр,Основные концепции,High,2025-11-25 09:21:57
18,Constructor,Метод для инициализации объекта,Конструктор,Основные концепции,High,2025-11-25 09:21:57
19,Destructor,Метод для очистки ресурсов объекта,Деструктор,Основные концепции,Medium,2025-11-25 09:21:57
"20,Interface,""Контракт, определяющий поведение класса"",Интерфейс,Основные концепции,High,2025-11-25 09:21:57"
"21,Abstract Class,""Класс, который нельзя инстанциировать напрямую"",Абстрактный класс,Основные концепции,High,2025-11-25 09:21:57"
22,Inheritance,Механизм наследования свойств и методов,Наследование,Основные концепции,High,2025-11-25 09:21:57
23,Polymorphism,Способность объектов иметь разные формы,Полиморфизм,Основные концепции,High,2025-11-25 09:21:57
24,Encapsulation,Сокрытие внутренней реализации,Инкапсуляция,Основные концепции,High,2025-11-25 09:21:57
25,Abstraction,Упрощение сложных систем,Абстракция,Основные концепции,High,2025-11-25 09:21:57
26,Module,Отдельный файл с кодом,Модуль,Основные концепции,High,2025-11-25 09:21:57
27,Package,Коллекция модулей,Пакет,Основные концепции,High,2025-11-25 09:21:57
28,Namespace,Контейнер для группировки связанных элементов,Пространство имен,Основные концепции,High,2025-11-25 09:21:57
29,Scope,Область видимости переменной,Область видимости,Основные концепции,High,2025-11-25 09:21:57
"30,Global Variable,""Переменная, доступная во всей программе"",Глобальная переменная,Основные концепции,Medium,2025-11-25 09:21:57"
"31,Local Variable,""Переменная, доступная только в пределах блока"",Локальная переменная,Основные концепции,High,2025-11-25 09:21:57"
32,Compilation,Процесс преобразования исходного кода в машинный код,Компиляция,Основные концепции,High,2025-11-25 09:21:57
33,Interpretation,Построчное выполнение исходного кода,Интерпретация,Основные концепции,High,2025-11-25 09:21:57
34,JIT Compilation,Компиляция во время выполнения,JIT-компиляция,Основные концепции,Medium,2025-11-25 09:21:57
35,Bytecode,Промежуточный код для виртуальной машины,Байт-код,Основные концепции,Medium,2025-11-25 09:21:57
"36,Recursion,""Функция, вызывающая саму себя"",Рекурсия,Основные концепции,Medium,2025-11-25 09:21:57"
37,Iteration,Повторение блока кода,Итерация,Основные концепции,High,2025-11-25 09:21:57
38,Loop,Конструкция для многократного выполнения кода,Цикл,Основные концепции,High,2025-11-25 09:21:57
39,Conditional,Конструкция для принятия решений,Условное выражение,Основные концепции,High,2025-11-25 09:21:57
"40,Data Type,""Категория данных, определяющая возможные операции"",Тип данных,Типы данных,High,2025-11-25 09:21:57"
41,Primitive Type,Базовый тип данных языка,Примитивный тип,Типы данных,High,2025-11-25 09:21:57
"42,Reference Type,""Тип, хранящий ссылку на данные"",Ссылочный тип,Типы данных,High,2025-11-25 09:21:57"
43,Integer,Целочисленный тип данных,Целое число,Типы данных,High,2025-11-25 09:21:57
44,Float,Число с плавающей точкой,Вещественное число,Типы данных,High,2025-11-25 09:21:57
45,Double,Число с двойной точностью,Число двойной точности,Типы данных,High,2025-11-25 09:21:57
46,Boolean,Логический тип (true/false),Булев тип,Типы данных,High,2025-11-25 09:21:57
47,String,Строковый тип данных,Строка,Типы данных,High,2025-11-25 09:21:57
48,Character,Символьный тип,Символ,Типы данных,High,2025-11-25 09:21:57
49,Array,Коллекция элементов одного типа,Массив,Типы данных,High,2025-11-25 09:21:57
50,List,Динамическая коллекция элементов,Список,Типы данных,High,2025-11-25 09:21:57
51,Tuple,Неизменяемая коллекция элементов,Кортеж,Типы данных,Medium,2025-11-25 09:21:57
52,Dictionary,Коллекция пар ключ-значение,Словарь,Типы данных,High,2025-11-25 09:21:57
53,Set,Коллекция уникальных элементов,Множество,Типы данных,Medium,2025-11-25 09:21:57
54,Enum,Перечисляемый тип,Перечисление,Типы данных,Medium,2025-11-25 09:21:57
"55,Pointer,""Переменная, хранящая адрес памяти"",Указатель,Типы данных,Medium,2025-11-25 09:21:57"
56,Null,Отсутствие значения,Null,Типы данных,High,2025-11-25 09:21:57
57,Undefined,Неопределенное значение,Неопределено,Типы данных,High,2025-11-25 09:21:57
"58,Linked List,""Структура данных из узлов, связанных ссылками"",Связный список,Структуры данных,Medium,2025-11-25 09:21:57"
59,Stack,Структура LIFO (последним пришел - первым ушел),Стек,Структуры данных,High,2025-11-25 09:21:57
60,Queue,Структура FIFO (первым пришел - первым ушел),Очередь,Структуры данных,High,2025-11-25 09:21:57
61,Deque,Двусторонняя очередь,Дек,Структуры данных,Medium,2025-11-25 09:21:57
62,Tree,Иерархическая структура данных,Дерево,Структуры данных,Medium,2025-11-25 09:21:57
"63,Binary Tree,""Дерево, где каждый узел имеет не более двух потомков"",Бинарное дерево,Структуры данных,Medium,2025-11-25 09:21:57"
